Date,FCPOTOTS Index  (R1),WMMFAMNA Index  (L1),WMMFAMAC Index  (R2)
2010-10-27,1167.9,1646159,840241
2010-10-20,1145.1,1633173,827954
2010-10-13,1127.3,1633497,841592
2010-10-06,1122.2,1630924,848354
2010-09-29,1091,1631465,848386
2010-09-22,1063.8,1634032,841934
2010-09-15,1036,1629062,855972
2010-09-08,1058.7,1649143,857360
2010-09-01,1064.2,1639242,857374
2010-08-25,1086.9,1631582,868075
