Date;Last Price;Open Price;High Price;Low Price;SMAVG (200);SMAVG (50);RX1 Comdty - Volume
2019-07-31;175.07;174.61;175.28;174.52;;171.82;594047
2019-07-30;174.55;174.43;174.65;174.36;;171.65;402733
2019-07-29;174.46;174.32;174.57;174.27;;171.49;390381
2019-07-26;174.21;174.25;174.3;173.92;;171.33;407411
2019-07-25;174.01;174.26;174.92;173.49;;171.19;985684
2019-07-24;174.3;173.78;174.51;173.74;;171.05;600271
2019-07-23;173.91;173.61;173.97;173.56;;170.9;397220
2019-07-22;173.78;173.39;173.79;173.29;;170.76;408536
2019-07-19;173.39;173.47;173.57;173.27;;170.61;436417
2019-07-18;173.25;173.12;173.63;173.02;;170.47;629368
2019-07-17;172.93;172.47;173.13;172.44;;170.33;528061
2019-07-16;172.34;172.33;172.68;172.16;;170.19;580062
2019-07-15;172.33;171.74;172.42;171.49;;170.07;502403
2019-07-12;171.68;171.55;171.88;171.25;;169.93;766694
2019-07-11;171.82;172.54;172.73;171.5;;169.8;812399
2019-07-10;172.51;173.05;173.08;172.02;;169.67;1088823
2019-07-09;173.21;173.35;173.46;173.04;;169.53;565770
2019-07-08;173.51;173.41;173.7;173.29;;169.37;512168
2019-07-05;173.18;173.94;173.96;172.99;;169.22;709057
2019-07-04;173.85;173.72;174.05;173.61;;169.07;483437
2019-07-03;173.67;173.59;173.9;173.53;;168.91;653582
2019-07-02;173.35;173.3;173.5;172.97;;168.73;600455
2019-07-01;173.3;172.57;173.33;172.47;;168.57;622875
2019-06-28;172.74;172.67;172.84;172.46;;168.39;487241
2019-06-27;172.62;172.36;172.77;171.92;;168.23;699716
2019-06-26;172.5;172.76;172.82;172.26;;168.07;646982
2019-06-25;172.88;172.45;172.91;172.45;;167.91;578799
2019-06-24;172.47;172.02;172.59;172.02;;167.77;463680
2019-06-21;172.07;172.55;172.65;171.95;;167.63;711933
2019-06-20;172.64;172.59;172.7;172.41;;167.5;667615
2019-06-19;172.16;172.67;172.72;172.09;;167.36;713166
2019-06-18;172.86;171.54;172.88;171.51;;167.22;1000244
2019-06-17;171.56;171.71;171.75;171.42;;167.07;479352
2019-06-14;171.78;171.63;171.99;171.59;;166.95;586201
2019-06-13;171.54;171.45;171.69;171.39;;166.84;507649
2019-06-12;171.48;171.38;171.62;171.32;;166.72;565266
2019-06-11;171.36;171.11;171.42;170.98;;166.62;540195
2019-06-10;171.11;171.55;171.66;171.06;;166.52;488845
2019-06-07;171.72;171.3;171.8;171.25;;166.43;674789
2019-06-06;168.95;168.72;169.01;168.7;;166.3;25352
2019-06-05;168.68;168.5;168.84;168.38;;166.24;231628
2019-06-04;168.46;168.48;168.68;168.39;;166.18;1449084
2019-06-03;168.37;168.59;168.69;168.33;;166.11;1700775
2019-05-31;168.34;168.33;168.63;168.3;;166.03;1330357
2019-05-30;168;167.84;168.21;167.72;;165.94;730315
2019-05-29;168.02;167.91;168.13;167.85;;165.86;838692
2019-05-28;167.8;167.55;167.93;167.52;;165.79;944511
2019-05-27;167.64;167.35;167.69;167.18;;165.71;260208
2019-05-24;167.24;167.28;167.33;167.1;;165.65;524817
2019-05-23;167.22;166.91;167.4;166.86;;165.59;784236
2019-05-22;166.72;166.52;166.9;166.44;;165.54;681336
2019-05-21;166.49;166.74;166.9;166.33;;165.49;772870
2019-05-20;166.79;166.98;167.07;166.63;;165.49;551282
2019-05-17;167.06;167.04;167.41;166.86;;165.48;626131
2019-05-16;166.95;167.06;167.27;166.78;;165.44;793121
2019-05-15;166.94;166.66;167.43;166.57;;165.42;963276
2019-05-14;166.59;166.51;166.72;166.31;;165.38;583821
2019-05-13;166.52;166.33;166.61;166.1;;165.36;581367
2019-05-10;166.25;166.12;166.4;165.94;;165.34;617039
2019-05-09;166.26;166.14;166.54;166.1;;165.34;713527
2019-05-08;166.2;166.06;166.47;165.92;;165.34;807467
2019-05-07;166.08;165.59;166.18;165.24;;165.35;825199
2019-05-06;165.44;165.51;165.86;165.31;;165.35;324793
2019-05-03;165.26;165.12;165.45;164.82;;165.37;599610
2019-05-02;165.24;165.16;165.48;164.97;;165.4;772196
2019-04-30;165.31;165.48;165.69;164.84;;165.42;938719
2019-04-29;165.55;165.8;165.84;165.33;;165.44;523115
2019-04-26;165.82;165.77;165.92;165.55;;165.46;503153
2019-04-25;165.69;165.7;165.8;165.56;;165.47;533568
2019-04-24;165.73;164.99;165.78;164.96;;165.47;717025
2019-04-23;164.94;165.01;165.13;164.71;;165.49;557087
2019-04-18;165.22;164.42;165.27;164.33;;165.52;768220
2019-04-17;164.3;164.5;164.59;164.06;;165.55;679000
2019-04-16;164.6;164.65;164.94;164.39;;165.57;661544
2019-04-15;164.66;164.59;164.76;164.33;;165.59;650826
2019-04-12;164.62;165.64;165.79;164.56;;165.6;951266
2019-04-11;165.58;165.82;165.87;165.51;;165.62;510179
2019-04-10;165.89;165.54;166;165.4;;165.62;583756
2019-04-09;165.48;165.29;165.64;165.11;;165.61;543179
2019-04-08;165.36;165.38;165.55;165.14;;165.6;358592
2019-04-05;165.36;165.35;165.52;165.07;;165.59;552256
2019-04-04;165.52;165.28;165.66;165.19;;165.58;596190
2019-04-03;165.4;165.93;166;165.18;;165.58;820784
2019-04-02;166.11;165.7;166.17;165.7;;165.56;563232
2019-04-01;165.67;166.21;166.21;165.6;;165.53;730962
2019-03-29;166.34;166.26;166.42;166.02;;165.5;695143
2019-03-28;166.39;166.54;166.75;166.21;;165.45;755693
2019-03-27;166.59;165.79;166.7;165.68;;165.41;1065658
2019-03-26;165.58;165.79;165.83;165.45;;165.37;600787
2019-03-25;165.66;165.58;165.97;165.34;;165.36;623210
2019-03-22;165.74;164.65;165.86;164.62;;165.34;1010742
2019-03-21;164.85;164.39;164.93;164.32;;165.31;725539
2019-03-20;164.25;163.89;164.53;163.84;;165.3;566585
2019-03-19;163.96;164.22;164.35;163.63;;165.29;727885
2019-03-18;164.27;164.22;164.36;163.96;;165.29;454397
2019-03-15;164.14;164.22;164.45;163.94;;165.28;560005
2019-03-14;164.13;164.21;164.45;164.07;;165.28;542776
2019-03-13;164.47;164.56;164.68;164.18;;165.29;459077
2019-03-12;164.54;164.25;164.74;163.92;;165.29;733723
2019-03-11;164.53;164.61;164.62;164.32;;165.27;509730
2019-03-08;164.39;164.44;164.74;164.31;;165.25;804481
2019-03-07;166.24;166.15;166.28;166.03;;165.24;15396
2019-03-06;166.11;165.8;166.29;165.63;;165.18;335509
2019-03-05;165.52;165.67;165.79;165.26;;165.13;1417266
2019-03-04;165.59;165.19;165.71;165.01;;165.09;1380979
2019-03-01;165.22;165.33;165.38;164.97;;165.04;1036780
2019-02-28;165.31;165.71;165.97;165.15;;165.01;997602
2019-02-27;165.68;166.35;166.48;165.56;;164.96;1038699
2019-02-26;166.27;166.5;166.66;166.16;;164.91;731373
2019-02-25;166.4;166.56;166.62;166.2;;164.85;530946
2019-02-22;166.62;166.17;166.72;166.11;;164.78;514633
2019-02-21;166.07;166.6;166.67;165.85;;164.72;983248
2019-02-20;166.51;166.45;166.69;166.35;;164.66;492425
2019-02-19;166.42;166.42;166.75;166.27;;164.6;654664
2019-02-18;166.36;166.53;166.55;166.28;;;238957
2019-02-15;166.47;166.55;166.64;166.28;;;474923
2019-02-14;166.54;166.22;166.73;166.02;;;628466
2019-02-13;166.12;166;166.24;165.86;;;531264
2019-02-12;166.02;166.26;166.26;165.84;;;634368
2019-02-11;166.35;166.68;166.73;166.15;;;602027
2019-02-08;166.75;166.39;166.83;166.26;;;635900
2019-02-07;166.36;165.59;166.45;165.52;;;896171
2019-02-06;165.51;165.42;165.68;165.37;;;491944
2019-02-05;165.49;165.4;165.52;164.93;;;623597
2019-02-04;165.28;165.61;165.64;165.22;;;418541
2019-02-01;165.5;165.73;165.77;165.43;;;711766
2019-01-31;165.67;165.52;165.87;165.3;;;801430
2019-01-30;165.18;165.24;165.53;164.99;;;571073
2019-01-29;165.08;164.94;165.28;164.85;;;566210
2019-01-28;164.91;165.19;165.3;164.69;;;647823
2019-01-25;165.07;165.35;165.43;164.96;;;603232
