Date,SPY US Equity  (R1),QQQ US Equity  (R1),TLT US Equity  (R1),IEML LN Equity  (L3),EMBE LN Equity  (R1),EUNH GY Equity  (R3),EMLC US Equity  (L2),IS0M GY Equity  (L4),EWJ US Equity  (R4),ARKK US Equity  (R1),IMEU NA Equity  (L1),IAU US Equity  (R1),COPA LN Equity  (R2),USO US Equity  (R1)
2018-04-20,266.61,162.3,118.46,67.18,96.34,123.29,38.38,160.605,60.69,40.87,23.945,12.82,29.56,110
2018-04-19,268.89,164.91,119.32,67.76,96.63,123.24,38.7,160.545,60.81,41.23,23.93,12.93,29.52,110.16
2018-04-18,270.39,166.44,120.3,68.1,97.205,123.745,38.86,161.025,61.04,41.66,23.91,12.94,29.715,111.04
2018-04-17,270.19,166.1,121.27,67.71,97.15,123.705,38.68,160.71,60.63,41.38,23.865,12.94,29.025,107.28
2018-04-16,267.33,162.6,120.94,67.45,97.175,123.5,38.66,160.175,60.4,40.22,23.635,12.93,29.23,107.04
2018-04-13,265.15,161.37,120.9,67.63,97.36,123.56,38.58,160.26,60.23,40.24,23.72,12.91,28.88,108.4
2018-04-12,265.93,162.21,120.62,67.62,97.39,123.6,38.5,160.045,60.23,40.52,23.69,12.82,28.825,108.16
2018-04-11,263.76,160.28,121.51,67.42,97.69,123.62,38.48,160.335,60.33,40.09,23.555,12.97,29.47,107.6
2018-04-10,265.15,161.21,121.08,67.14,97.765,123.405,38.36,160.295,60.48,39.92,23.695,12.88,29.365,106
2018-04-09,261,157.73,121.3,67.46,97.875,123.64,38.46,160.515,60.15,38.68,23.5,12.84,28.88,102.16
2018-04-06,259.72,156.63,121.1,67.6,98.175,123.68,38.6,160.345,59.62,38.44,23.435,12.81,28.67,100.08
2018-04-05,265.64,160.65,119.79,67.86,98.095,123.58,38.72,160.445,60.57,39.53,23.51,12.74,28.8,102.64
2018-04-04,263.56,159.74,120.69,67.81,97.755,123.895,38.9,160.895,60.27,39.27,22.975,12.81,28.275,102.56
2018-04-03,260.77,157.26,120.94,68.12,97.835,123.765,38.84,160.415,60.21,38.35,23.05,12.79,28.73,102.48
2018-04-02,257.47,155.51,121.88,,,,38.86,,59.46,37.81,,12.89,,101.92
2018-03-29,263.15,160.13,121.9,67.95,97.875,123.885,39.2,160.36,60.68,39.07,23.2,12.73,28.41,104.72
2018-03-28,259.83,157.25,121.31,68.05,97.415,123.71,38.96,159.86,59.92,38.39,23.065,12.73,28.16,104.32
2018-03-27,260.6,159.08,120.99,68.1,97.39,123.55,38.98,159.49,59.25,39.39,22.93,12.91,28.125,104.64
2018-03-26,265.11,164.4,119.71,67.95,96.92,123.33,39.1,159.165,59.11,41.51,22.64,12.99,28.03,105.68
2018-03-23,258.05,158.51,120.17,67.48,96.81,123.375,38.72,159.445,58.28,40.65,22.8,12.93,28.2,106.24
2018-03-22,263.67,162.8,120.26,67.49,97.145,123.27,38.66,159.28,59.53,41.46,22.84,12.75,28.34,103.6
2018-03-21,270.43,166.92,119.08,67.36,97.03,122.84,38.74,158.92,60.08,42.67,23.36,12.8,28.76,105.44
2018-03-20,270.95,167.65,118.95,67.13,96.85,122.985,38.38,159.205,60,42.68,23.39,12.58,28.61,102.48
2018-03-19,270.49,167.1,119.43,67.05,97.195,122.85,38.5,158.57,59.66,42.6,23.275,12.64,29.045,100.4
2018-03-16,274.2,171.02,119.81,67.22,97.615,122.755,38.62,158.39,60.69,43.42,23.525,12.61,29.22,100.4
2018-03-15,275,171.53,120.24,67.325,97.59,122.65,38.66,158.295,60.96,43.63,23.49,12.64,29.4,98.72
2018-03-14,275.3,171.68,120.24,67.51,98.96,122.505,38.88,158.065,60.84,44.13,23.33,12.72,29.67,98.24
2018-03-13,276.72,171.71,119.19,67.7,98.845,122.41,38.78,158.32,60.58,44.44,23.375,12.73,29.49,97.92
2018-03-12,278.52,174.08,118.59,67.49,98.9,122.37,38.82,158.19,60.68,44.98,23.58,12.7,29.38,98.96
2018-03-09,278.87,173.16,117.91,67.69,98.87,122.15,38.8,158.13,60.62,44.89,23.53,12.7,29.56,99.76
2018-03-08,274.1,169.86,118.69,67.37,98.705,122.385,38.74,158.48,60.47,44,23.45,12.69,28.965,97.2
2018-03-07,272.78,168.93,118.01,67.62,98.78,122.025,38.9,157.83,60.1,43.61,23.2,12.71,29.41,98.8
2018-03-06,272.88,168.54,118.14,67.78,98.93,121.845,38.96,157.51,60.61,42.96,23.105,12.8,29.75,100.56
2018-03-05,272.19,167.83,118.03,67.49,98.89,122.015,38.84,157.515,60.24,42.56,23.085,12.66,29.38,100.72
2018-03-02,269.08,165.99,118.35,67.16,98.62,121.985,38.78,157.845,59.97,41.71,22.835,12.68,29.335,98.96
2018-03-01,267.7,164.48,119.32,67.17,98.98,122.11,38.66,157.985,59.3,40.77,23.35,12.62,29.41,98.8
2018-02-28,271.65,167.21,118.75,67.37,99.135,121.93,38.92,157.6,61.07,40.91,23.635,12.66,29.46,98.96
2018-02-27,274.43,168.29,118,67.57,99.11,121.715,38.98,157.365,61.61,41.69,23.805,12.65,29.86,101.2
2018-02-26,277.9,170.4,118.17,68.04,99.27,121.82,39.32,157.235,62.46,42.36,23.835,12.79,30.31,102.88
2018-02-23,274.71,168.17,118.13,67.93,98.91,121.7,39.28,156.83,61.66,41.51,23.73,12.77,30.26,102.16
2018-02-22,270.4,164.8,117.09,67.58,98.75,121.41,39.1,156.71,60.77,40.99,23.67,12.79,30.52,100.72
